model,n_samples,accuracy,precision,recall,f1,TN,FP,FN,TP
baseline_random,41,0.6097560975609756,0.6111111111111112,0.55,0.5789473684210527,14,7,9,11
baseline_persistence,41,0.5609756097560976,0.55,0.55,0.55,12,9,9,11
logreg,41,0.5365853658536586,0.6,0.15,0.24,19,2,17,3
baseline_majority,41,0.5121951219512195,0.0,0.0,0.0,21,0,20,0
lstm,41,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327,0,21,0,20
baseline_ar1,41,0.4878048780487805,0.4878048780487805,1.0,0.6557377049180327,0,21,0,20
svm,41,0.43902439024390244,0.3333333333333333,0.15,0.20689655172413793,15,6,17,3
xgboost,41,0.43902439024390244,0.3333333333333333,0.15,0.20689655172413793,15,6,17,3
lightgbm,41,0.43902439024390244,0.2857142857142857,0.1,0.14814814814814814,16,5,18,2
