model,n_samples,accuracy,precision,recall,f1,TN,FP,FN,TP
baseline_persistence,823,0.5261239368165249,0.5125,0.5125,0.5125,228,195,195,205
baseline_majority,823,0.5139732685297691,0.0,0.0,0.0,423,0,400,0
logreg,823,0.4933171324422843,0.46443514644351463,0.2775,0.3474178403755869,295,128,289,111
baseline_random,823,0.4896719319562576,0.47619047619047616,0.5,0.4878048780487805,203,220,200,200
lstm,823,0.488456865127582,0.48714810281517745,0.995,0.6540673788003287,4,419,2,398
lightgbm,823,0.4848116646415553,0.4541984732824427,0.2975,0.3595166163141994,280,143,281,119
svm,823,0.4835965978128797,0.46867167919799496,0.4675,0.46808510638297873,211,212,213,187
baseline_ar1,823,0.4775212636695018,0.4630541871921182,0.47,0.4665012406947891,205,218,212,188
xgboost,823,0.46051032806804376,0.4421052631578947,0.42,0.4307692307692308,211,212,232,168
