Date,Return,SMA_ratio,Volatility_5D,Momentum_10D,Daily_Range,RSI_14,CPI_YoY,UNRATE_Diff,Rate_Differential_Change,target
2024-12-18,-0.0021200121370241742,0.9983040247665844,0.0027431909351199467,-0.0015008302030594667,0.004520389686964406,39.5937554065943,0.02768278464651197,0.10000000000000053,0.25,0
2024-12-19,-0.013796860409498679,0.9962543453686019,0.0065657777398160444,-0.015587476548773016,0.006734181629755111,27.27367651665449,0.02768278464651197,0.10000000000000053,-0.25,1
2024-12-20,0.0014199956440721362,0.9946718974945976,0.0068495681554614374,-0.020843954300533096,0.008569194053883091,30.625323766098546,0.02768278464651197,0.10000000000000053,0.0,1
2024-12-23,0.006572816929756531,0.9934274827652395,0.007584419323058624,-0.012530135272070142,0.005970247142934351,43.033735797185514,0.02768278464651197,0.10000000000000053,0.0,0
2024-12-24,-0.002611890288039209,0.9914851252951604,0.007494778848288718,-0.014152031764736561,0.0022865057325891507,39.640328385594316,0.02768278464651197,0.10000000000000053,0.0,0
2024-12-25,-0.0003120618074839987,0.9901414935031174,0.0075374966678123986,-0.01237910683642962,0.00302521705608644,38.991372840563415,0.02768278464651197,0.10000000000000053,0.0,0
2024-12-26,-0.00029107357560742564,0.9918507590188197,0.0034517002244770665,-0.010212298121635599,0.0032605147128949665,28.775502987871718,0.02768278464651197,0.10000000000000053,0.0,1
2024-12-27,0.0022721812206090153,0.9936237818336275,0.003501053025264493,-0.0048572347211987,0.003670685683399443,33.896493940694086,0.02768278464651197,0.10000000000000053,0.0,1
2024-12-30,0.000594492107253819,0.9941019400096717,0.0017674866172565566,-0.007675973754124543,0.008083283688406953,35.62676514724426,0.024578274243159948,0.10000000000000053,0.0,0
2024-12-31,-0.0022269349976842268,0.9945595370749498,0.0016322765001483624,-0.010572631101226415,0.0072773195324763815,35.54641326706684,0.024578274243159948,0.10000000000000053,0.0,0
2025-01-02,-0.005217249054994322,0.9943455344027566,0.0028739892466298936,-0.01364363263635715,0.013885674079345722,33.4013374425178,0.024578274243159948,0.10000000000000053,0.0,0
2025-01-03,-0.00808116751134591,0.9930016646937221,0.00421165041758346,-0.007927051682934949,0.003884092530470727,30.120099100177754,0.024578274243159948,0.10000000000000053,0.0,1
2025-01-06,0.003617188874099675,0.9920766515284182,0.0046184911859297045,-0.005750366600534851,0.013459842457019009,30.27438204880201,0.024578274243159948,0.10000000000000053,0.0,1
